nfl_id,display_name,position,dCPOE,overall_rank,grp,group_rank
2553637,Justin Coleman,CB,-5.385296436533804,1,CB,1
2557969,Matt Milano,OLB,-5.161061887213961,2,LB,1
496735,Kareem Jackson,CB,-5.107918600766588,3,CB,2
2555177,Mackensie Alexander,CB,-4.7911157943498175,4,CB,3
2560725,Minkah Fitzpatrick,S,-4.773121862566325,5,S,1
2557979,Jamal Adams,SS,-4.411972503335866,6,S,2
2550842,Adrian Phillips,SS,-4.159883777125861,7,S,3
2540288,Darius Slay,CB,-4.084241092525372,8,CB,4
2543811,Pierre Desir,CB,-3.98121200224372,9,CB,5
2555539,Xavien Howard,CB,-3.9567070230711505,10,CB,6
2560789,Darius Leonard,LB,-3.636641839224965,11,LB,2
2558157,Ahkello Witherspoon,CB,-3.4406429086268444,12,CB,7
2533060,Dre Kirkpatrick,CB,-3.355932777094562,13,CB,8
2559054,Nicholas Morrow,ILB,-3.203762179564889,14,LB,3
2532966,Bobby Wagner,MLB,-3.2026140562520484,15,LB,4
2555166,Joe Schobert,MLB,-3.1094865940460585,16,LB,5
2560917,Fred Warner,LB,-3.109044041820452,17,LB,6
2558176,Eddie Jackson,FS,-3.0905072537618867,18,S,4
2558067,Marlon Humphrey,CB,-2.894831255128725,19,CB,9
496733,Joe Haden,CB,-2.849352838480165,20,CB,10
2533059,Morris Claiborne,CB,-2.82599502554976,21,CB,11
2560760,Derwin James,SS,-2.810497552600771,22,S,5
2558005,Jayon Brown,ILB,-2.7612915392730844,23,LB,7
2560916,Denzel Ward,CB,-2.7533179970730117,24,CB,12
2555322,Darron Lee,ILB,-2.7429331553629566,25,LB,8
2543830,Tre Boston,FS,-2.7151102204359314,26,S,6
2543681,Kyle Fuller,CB,-2.7103104720186173,27,CB,13
2533062,Stephon Gilmore,CB,-2.6415129897642458,28,CB,14
2555329,Myles Jack,OLB,-2.6012076271028644,29,LB,9
494259,Barry Church,SS,-2.4664599741582154,30,S,7
2532789,Mark Barron,ILB,-2.420689514449401,31,LB,10
2552385,Adrian Amos,FS,-2.4121105340793894,32,S,8
2553655,Anthony Harris,FS,-2.406337223588111,33,S,9
2555310,Jaylon Smith,MLB,-2.395177428722863,34,LB,11
