week,time,x,y,s,a,dis,o,dir,event,nfl_id,display_name,jersey_number,position,frame_id,team,game_id,play_id,play_direction,route
week17,2018-12-30T23:13:52Z,21.629999999999995,29.083333333333336,0.01,0.01,0.01,76.8,120.34,None,2532974,Kyle Wilber,58,OLB,1,away,2018123004,2619,left,NA
week17,2018-12-30T23:13:52Z,23.349999999999994,22.913333333333334,1.01,1.52,0.09,71.52,357.66,None,2532986,Tahir Whitehead,59,OLB,1,away,2018123004,2619,left,NA
week17,2018-12-30T23:13:52Z,19.08,28.423333333333336,0,0,0,249.04,68.29,None,2540258,Travis Kelce,87,TE,1,home,2018123004,2619,left,FLAT
week17,2018-12-30T23:13:52Z,21.950000000000003,17.413333333333334,0,0,0,155.47,72.87,None,2541200,Rashaan Melvin,22,CB,1,away,2018123004,2619,left,NA
week17,2018-12-30T23:13:52Z,16.42,25.913333333333334,0,0,0,281.92,267.43,None,2550268,Charcandrick West,30,RB,1,home,2018123004,2619,left,ANGLE
week17,2018-12-30T23:13:52Z,18.950000000000003,18.793333333333337,0,0,0,261.66,165.08,None,2552652,Chris Conley,17,WR,1,home,2018123004,2619,left,FLAT
week17,2018-12-30T23:13:52Z,30.409999999999997,19.60333333333334,0.82,0.59,0.08,90.67,10.35,None,2555342,Karl Joseph,42,SS,1,away,2018123004,2619,left,NA
week17,2018-12-30T23:13:52Z,19.879999999999995,17.883333333333333,0,0,0,272.88,101.84,None,2555478,Demarcus Robinson,11,WR,1,home,2018123004,2619,left,GO
week17,2018-12-30T23:13:52Z,23,29.793333333333337,0,0,0,71.54,340.18,None,2555568,Erik Harris,25,SS,1,away,2018123004,2619,left,NA
week17,2018-12-30T23:13:52Z,19.930000000000007,30.793333333333337,0,0,0,270.16,141.88,None,2556214,Tyreek Hill,10,WR,1,home,2018123004,2619,left,HITCH
week17,2018-12-30T23:13:52Z,21.709999999999994,30.753333333333337,0.29,0.82,0.03,67.51,99.29,None,2558062,Gareon Conley,21,CB,1,away,2018123004,2619,left,NA
