,,,,,Games,Games,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Tackles,Tackles,Tackles
Rk,Player,Tm,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
1,Darius Leonard+\LeonDa00,IND,23,LLB,15,15,2,96,76,79.2%,686,9.0,7.1,2,94.7,3.6,243,443,28,1,1,7.0,9,163,12,6.9%
2,Leighton Vander Esch*\VandLe00,DAL,22,RLB,16,11,2,90,72,80.0%,602,8.4,6.7,3,96.4,4.0,233,369,15,1,1,0.0,2,140,10,6.7%
3,Antoine Bethea\BethAn20,ARI,34,FS,16,16,0,56,37,66.1%,347,9.4,6.2,2,94.9,8.2,206,141,30,4,3,3.0,10,121,19,13.6%
4,Telvin Smith\SmitTe01,JAX,27,LLB,16,16,2,77,59,76.6%,524,8.9,6.8,4,100.8,5.0,160,364,33,3,1,1.0,5,134,23,14.6%
5,Lavonte David\DaviLa00,TAM,28,RLB,14,14,0,77,62,80.5%,569,9.2,7.4,4,114.8,3.9,201,368,54,0,2,3.5,6,120,9,7.0%
6,Luke Kuechly*+\KuecLu00,CAR,27,MLB,16,16,1,54,36,66.7%,239,6.6,4.4,2,80.7,2.4,32,207,55,4,3,2.0,9,130,10,7.1%
7,Blake Martinez\MartBl01,GNB,24,LILB,16,16,0,61,45,73.8%,410,9.1,6.7,5,118.9,3.6,138,272,61,5,1,5.0,11,144,12,7.7%
8,Cory Littleton*\LittCo01,LAR,25,RILB,16,16,3,64,47,73.4%,536,11.4,8.4,3,94.3,7.1,255,281,58,4,0,4.0,8,125,10,7.4%
9,Roquan Smith\SmitRo07,CHI,21,RILB,16,14,1,82,60,73.2%,587,9.8,7.2,2,95.9,4.3,233,354,36,4,0,5.0,9,121,13,9.7%
10,Tahir Whitehead\WhitTa00,OAK,28,RLB,16,16,1,71,53,74.6%,716,13.5,10.1,4,119.2,6.9,269,447,31,2,1,0.0,3,126,11,8.0%
11,Jamal Adams *\AdamJa00,NYJ,23,SS,16,16,1,60,33,55.0%,405,12.3,6.8,1,74.7,9.8,235,170,69,2,4,3.5,10,115,12,9.4%
12,Fred Warner\WarnFr00,SFO,22,MLB,16,16,0,75,45,60.0%,475,10.6,6.3,3,91.8,5.1,171,304,51,2,2,0.0,4,124,13,9.5%
13,Bobby Wagner*+\WagnBo00,SEA,28,MLB,15,15,1,69,46,66.7%,475,10.3,6.9,0,80.3,6.1,182,293,41,1,4,1.0,6,138,1,0.7%
14,John Johnson\JohnJo10,LAR,23,SS,16,16,4,56,38,67.9%,391,10.3,7.0,4,81.8,8.6,243,148,15,0,2,0.0,2,119,8,6.3%
15,Jaylon Smith\SmitJa05,DAL,23,MLB,16,16,0,58,46,79.3%,413,9.0,7.1,2,107.8,5.3,196,217,68,7,2,4.0,13,121,12,9.0%
16,Mason Foster\FostMa00,WAS,29,RILB,16,16,2,77,59,76.6%,502,8.5,6.5,1,86.6,3.6,96,406,77,5,0,1.0,5,131,12,8.4%
17,Anthony Hitchens\HitcAn00,KAN,26,LILB,15,15,0,69,59,85.5%,573,9.7,8.3,4,120.6,3.3,194,379,36,4,1,0.0,5,135,8,5.6%
18,Shawn Williams\WillSh02,CIN,27,SS,16,16,5,60,41,68.3%,556,13.6,9.3,7,101.8,10.4,391,165,19,2,1,1.0,4,110,10,8.3%
19,Ha Ha Clinton-Dix\ClinHa00,2TM,26,,16,16,3,39,26,66.7%,333,12.8,8.5,1,69.7,10.3,209,124,16,0,1,1.0,2,93,9,8.8%
20,Todd Davis\DaviTo01,DEN,26,LILB,16,16,1,57,46,80.7%,436,9.5,7.6,2,102.9,3.3,118,318,42,2,4,0.5,7,114,15,11.6%
