nflId,height,weight,birthDate,collegeName,position,displayName
2539334,72,190,1990-09-10,Washington,CB,Desmond Trufant
2539653,70,186,1988-11-01,Southeastern Louisiana,CB,Robert Alford
2543850,69,186,1991-12-18,Purdue,SS,Ricardo Allen
2555162,73,227,1994-11-04,Louisiana State,MLB,Deion Jones
2555255,75,232,1993-07-01,Minnesota,OLB,De'Vondre Campbell
2555543,73,216,1995-07-26,Florida,FS,Keanu Neal
2556445,70,211,1992-10-20,Florida,CB,Brian Poole
2507763,6-0,200,08/01/1986,Mississippi,WR,Mike Wallace
2532842,78,243,1989-01-20,Arizona,QB,Nick Foles
2540158,77,250,1990-11-10,Stanford,TE,Zach Ertz
2552582,6-0,223,06/15/1993,Boise State,RB,Jay Ajayi
2552600,72,198,1993-05-24,Southern California,WR,Nelson Agholor
2553502,68,190,1993-04-10,Sacramento State,WR,DeAndre Carter
2552301,75,246,1992-07-08,Clemson,DE,Vic Beasley
2506467,66,190,1983-06-20,Kansas State,RB,Darren Sproles
2557967,73,230,1994-08-09,Louisiana State,OLB,Duke Riley
2558184,71,190,1993-06-05,San Diego State,SS,Damontae Kazee
2560995,77,256,1995-01-03,South Dakota State,TE,Dallas Goedert
2559150,70,220,1994-11-02,Wisconsin,RB,Corey Clement
310,76,217,1985-05-17,Boston College,QB,Matt Ryan
2495454,75,220,1989-02-08,Alabama,WR,Julio Jones
2507828,6-5,268,02/26/1987,UCLA,TE,Logan Paulsen
2552453,73,210,1993-04-16,Indiana,RB,Tevin Coleman
2555415,76,254,1994-10-29,Stanford,TE,Austin Hooper
2558023,77,253,1994-05-01,Drake,TE,Eric Saubert
79848,72,204,1987-12-20,Ohio State,SS,Malcolm Jenkins
2534832,70,195,1990-06-23,Virginia,FS,Rodney McLeod
2552315,73,236,1992-06-27,Texas,MLB,Jordan Hicks
2552689,71,193,1994-01-02,Florida State,CB,Ronald Darby
2555383,72,191,1994-04-06,Louisiana State,CB,Jalen Mills
2556363,74,230,1994-05-16,Eastern Illinois,OLB,Kamu Grugier-Hill
2558175,74,230,1995-02-23,Nebraska,LB,Nate Gerry
2543583,68,206,1992-03-15,Florida State,RB,Devonta Freeman
2552418,70,192,1991-12-18,East Carolina,WR,Justin Hardy
2557034,70,190,1993-04-10,Washington,WR,Marvin Hall
2560854,73,190,1994-12-20,Alabama,WR,Calvin Ridley
2557958,72,181,1996-05-21,Washington,CB,Sidney Jones
2533040,74,215,1989-08-22,Rutgers,WR,Mohamed Sanu
2495613,6-0,196,07/25/1985,New Hampshire,FS,Corey Graham
2561132,74,215,1995-08-02,Yale,LB,Foye Oluokun
2558258,71,191,1995-03-20,West Virginia,WR,Shelton Gibson
2559033,72,233,1994-04-15,Oregon State,FB,Ricky Ortiz
2559109,74,205,1994-07-12,Kansas State,CB,Deante Burton
2539291,5-11,185,02/07/1991,Oregon State,WR,Markus Wheaton
2558168,74,209,1995-08-29,West Virginia,CB,Rasul Douglas
2555461,70,208,1994-01-20,West Virginia,RB,Wendell Smallwood
79607,71,210,1988-07-12,Pittsburgh,RB,LeSean McCoy
2495139,75,246,1989-02-13,Tulsa,TE,Charles Clay
2495189,5-9,188,11/08/1988,Texas Christian,WR,Jeremy Kerley
2543471,6-5,245,02/05/1991,Florida State,WR,Kelvin Benjamin
2557863,74,200,1995-03-30,East Carolina,WR,Zay Jones
2558191,74,225,1994-05-04,Pittsburgh,QB,Nathan Peterman
4365,72,210,1986-05-19,Grand Valley State,CB,Brandon Carr
2495775,5-11,195,01/04/1985,Utah,FS,Eric Weddle
2540164,71,211,1992-01-27,Oklahoma,SS,Tony Jefferson
2543464,74,250,1992-06-19,Alabama,ILB,C.J. Mosley
2552279,76,272,1992-09-08,Kentucky,OLB,Za'Darius Smith
2555378,69,185,1994-03-14,Temple,CB,Tavon Young
2555505,75,261,1992-08-15,Grand Valley State,OLB,Matt Judon
2558067,72,197,1996-07-08,Alabama,CB,Marlon Humphrey
2506268,73,245,1983-05-31,California,OLB,Lorenzo Alexander
2539240,72,197,1990-12-31,Iowa,SS,Micah Hyde
2539290,72,191,1991-04-25,Oregon State,FS,Jordan Poyer
2543851,72,193,1991-04-04,Rice,CB,Phillip Gaines
2557867,71,192,1995-01-16,Louisiana State,CB,Tre'Davious White
2557969,72,223,1994-07-28,Boston College,OLB,Matt Milano
2560713,77,250,1998-05-02,Virginia Tech,LB,Tremaine Edmunds
382,78,245,1985-01-16,Delaware,QB,Joe Flacco
71269,6-1,215,09/14/1987,Texas Tech,WR,Michael Crabtree
2543847,71,179,1990-04-03,Pittsburg State,WR,John Brown
2552402,76,270,1993-02-17,Delaware,TE,Nick Boyle
2552468,76,252,1994-04-12,Minnesota,TE,Maxx Williams
2555430,5-10,208,08/26/1994,Arkansas,RB,Alex Collins
2560766,71,192,1996-07-27,Weber State,CB,Taron Johnson
2550256,71,205,1992-10-17,Ball State,WR,Willie Snead
2552631,72,218,1991-08-27,Southern California,RB,Javorius Allen
2560729,74,196,1994-05-07,Alabama,WR,Robert Foster
2505660,75,265,1982-10-11,Arizona State,OLB,Terrell Suggs
2558990,75,311,1994-05-27,Maine,FB,Patrick Ricard
2508004,71,207,1987-03-27,Tennessee State,DB,Anthony Levine
2555209,73,200,1993-06-16,Cincinnati,WR,Chris Moore
2495453,6-4,210,06/16/1988,Hillsdale,WR,Andre Holmes
2543767,78,250,1991-07-01,Virginia Tech,TE,Logan Thomas
2559159,77,246,1994-02-28,Tennessee,TE,Jason Croom
2556642,72,227,1992-08-22,Portland State,ILB,Patrick Onwuasor
2558248,72,205,1995-04-19,Virginia Tech,FS,Chuck Clark
2507817,5-11,205,05/12/1987,South Carolina State,SS,Rafael Bush
2557841,75,244,1993-11-12,Alabama,OLB,Tim Williams
2560947,73,235,1994-11-15,UCLA,LB,Kenny Young
2552647,69,195,1991-10-03,Missouri,RB,Marcus Murphy
2558166,75,240,1995-05-23,Houston,OLB,Tyus Bowser
2560957,77,255,1995-09-06,Oklahoma,TE,Mark Andrews
2507999,6-0,223,03/22/1988,Tiffin University,RB,Chris Ivory
2560955,77,237,1996-05-21,Wyoming,QB,Josh Allen
2555229,70,228,1994-01-21,Louisiana Tech,RB,Kenneth Dixon
2560757,74,212,1997-01-07,Louisville,QB,Lamar Jackson
2561485,5-10,173,11/20/1993,Rutgers,WR,Janarion Grant
2560963,71,178,1994-11-30,Alabama,CB,Anthony Averett
2555178,73,193,1994-05-26,Virginia,CB,Maurice Canady
2561301,74,230,1995-07-23,North Dakota State,LB,Chris Board
2506109,77,240,1982-03-02,"Miami, O.",QB,Ben Roethlisberger
2508061,5-10,185,07/10/1988,Central Michigan,WR,Antonio Brown
2540151,6-4,203,05/20/1991,Tennessee,WR,Justin Hunter
2552633,79,250,1994-06-04,Penn State,TE,Jesse James
2557978,73,233,1995-05-05,Pittsburgh,RB,James Conner
2558149,73,215,1996-11-22,Southern California,WR,JuJu Smith-Schuster
2539311,75,255,1989-10-20,Southern Mississippi,OLB,Jamie Collins
2543637,71,190,1992-05-17,Oregon,CB,Terrance Mitchell
2552389,71,196,1992-08-29,Arizona State,CB,Damarious Randall
2555166,73,245,1993-11-06,Wisconsin,MLB,Joe Schobert
2555540,70,210,1993-12-15,Texas Christian,SS,Derrick Kindred
2556475,69,193,1993-01-21,Minnesota,CB,Briean Boddy-Calhoun
2560916,71,191,1997-04-28,Ohio State,CB,Denzel Ward
2560920,71,213,1996-04-02,Oklahoma State,WR,James Washington
2560964,72,250,1995-04-26,Memphis,LB,Genard Avery
496727,73,210,1989-01-13,Georgia Tech,SS,Morgan Burnett
496733,71,195,1989-04-14,Florida,CB,Joe Haden
2539978,73,245,1991-05-05,Florida,ILB,Jon Bostic
2540221,73,233,1989-12-27,Florida State,ILB,Vince Williams
2552289,76,269,1993-02-12,Kentucky,OLB,Bud Dupree
2555344,72,197,1995-05-01,Miami,CB,Artie Burns
2555386,73,202,1993-10-23,Maryland,SS,Sean Davis
2556559,69,184,1994-03-09,Mississippi,CB,Mike Hilton
2558064,76,252,1994-10-11,Wisconsin,OLB,T.J. Watt
2495240,73,215,1989-08-03,Virginia Tech,QB,Tyrod Taylor
2537931,75,225,1991-04-13,Utah,WR,Josh Gordon
2540928,79,270,1986-04-22,California-Irvine,TE,Darren Fells
2543488,71,196,1992-11-28,Louisiana State,WR,Jarvis Landry
2543743,72,229,1990-09-20,Ohio State,RB,Carlos Hyde
2557986,76,246,1996-07-10,Miami,TE,David Njoku
2552461,69,210,1993-09-23,Miami,RB,Duke Johnson
2555468,73,198,1994-10-07,Colorado State,WR,Rashard Higgins
2560712,73,217,1997-01-20,Virginia Tech,S,Terrell Edmunds
2550235,71,248,1992-03-30,Kent State,FB,Roosevelt Nix
2550521,76,261,1992-09-22,Southern California,TE,Xavier Grimble
2543720,74,235,1992-08-31,Iowa,OLB,Christian Kirksey
2557980,71,213,1995-10-04,Michigan,FS,Jabrill Peppers
2560988,71,200,1997-01-09,Florida,WR,Antonio Callaway
2552266,75,255,1992-12-10,Miami,OLB,Anthony Chickillo
2561021,71,225,1995-12-27,Georgia,RB,Nick Chubb
2557960,68,185,1994-11-04,North Carolina,WR,Ryan Switzer
2558849,71,188,1995-02-27,Tennessee,CB,Cameron Sutton
2556365,6-3,245,01/29/1993,Princeton,TE,Seth DeValve
2550164,72,204,1990-07-28,Ohio,CB,T.J. Carrie
2561470,6-4,207,10/17/1994,Texas Tech,WR,Derrick Willies
2533060,74,190,1989-10-26,Alabama,CB,Dre Kirkpatrick
2543814,73,255,1992-10-27,Louisville,MLB,Preston Brown
2555355,72,205,1993-06-02,Illinois,FS,Clayton Fejedelem
2555528,74,235,1993-08-20,Utah State,OLB,Nick Vigil
2556367,72,196,1992-10-27,Houston,CB,William Jackson
2558801,75,242,1995-01-27,Oklahoma,OLB,Jordan Evans
2560970,73,200,1997-02-26,Wake Forest,S,Jessie Bates
2532865,70,183,1989-11-14,Florida International,WR,T.Y. Hilton
2533031,6-4,240,09/12/1989,Stanford,QB,Andrew Luck
2540232,78,262,1990-05-05,Western Kentucky,TE,Jack Doyle
2543466,76,253,1993-04-10,North Carolina,TE,Eric Ebron
2543759,72,194,1990-12-19,Tulane,WR,Ryan Grant
2560933,73,217,1994-07-18,Mississippi,RB,Jordan Wilkins
2543474,71,205,1991-10-10,Michigan State,CB,Darqueze Dennard
2556396,72,184,1994-01-12,Grambling State,WR,Chester Rogers
2558877,74,214,1994-12-18,Old Dominion,WR,Zach Pascal
2560742,69,198,1996-11-12,North Carolina State,RB,Nyheim Hines
2495143,74,220,1987-10-29,Texas Christian,QB,Andy Dalton
2495450,76,210,1988-07-31,Georgia,WR,A.J. Green
2540148,78,255,1990-09-08,Notre Dame,TE,Tyler Eifert
2540156,69,205,1991-11-22,North Carolina,HB,Giovani Bernard
2555466,74,203,1994-11-15,Pittsburgh,WR,Tyler Boyd
2558010,71,194,1995-11-27,Washington,WR,John Ross
2552386,74,216,1992-06-01,Central Florida,FS,Clayton Geathers
2556429,71,209,1992-07-15,Notre Dame,SS,Matthias Farley
2557961,74,193,1996-08-16,Florida,CB,Quincy Wilson
2558108,72,185,1994-06-30,Temple,CB,Nate Hairston
2558851,73,230,1995-08-08,Northwestern,ILB,Anthony Walker
2558976,69,190,1995-08-23,Valdosta State,CB,Kenny Moore II
2560789,74,230,1995-07-27,South Carolina State,LB,Darius Leonard
2552586,78,250,1992-10-15,Rutgers,TE,Tyler Kroft
2550405,76,255,1992-05-08,Miami,TE,Erik Swoope
2552559,78,260,1993-01-14,Auburn,TE,C.J. Uzomah
2557976,73,220,1996-07-24,Oklahoma,HB,Joe Mixon
2558060,73,212,1996-04-02,Ohio State,FS,Malik Hooker
2560816,74,225,1995-01-08,South Carolina,ILB,Skai Moore
2539233,72,210,1991-05-13,Georgia,SS,Shawn Williams
2561155,72,236,1996-07-02,Syracuse,ILB,Zaire Franklin
2558982,72,235,1994-01-05,Illinois,MLB,Hardy Nickerson
2556493,71,228,1992-10-24,Texas A&M,RB,Tra Carson
2533016,72,244,1989-06-04,West Virginia,OLB,Najee Goode
2558127,75,205,1996-03-21,Tennessee,WR,Josh Malone
2556519,72,195,1992-11-06,Wisconsin,WR,Alex Erickson
2354,72,233,1986-07-21,Kentucky,ILB,Wesley Woodyard
71423,6-4,257,07/31/1986,Texas,OLB,Brian Orakpo
2539320,72,214,1991-02-15,Texas,SS,Kenny Vaccaro
